,model,data,hyperp,prompt,additional,std_n,N,N_std,ClipM1,ClipM1_std,ClipM5,ClipM5_std,Cont,Cont_std,EM,EM_std,Len,Len_std
0,blip1,ftvqa,default,none,,3,7654.0,0.0,0.23730511466662088,0.01284723682414872,0.4303632080554962,0.019839550391068585,0.07303370845814545,0.04696358938987508,0.06698022658626239,0.04924928264188853,1.7013761599858601,0.5978095394479201
1,blip1,ftvqa,default,none,followup,3,7654.0,0.0,0.30162877837816876,0.022841199424945228,0.4414249658584595,0.02481754928605196,0.0865342766046524,0.04857012762443774,0.08048079473276933,0.05043927049185974,1.320486028989156,0.12816418253181389
2,blip2-opt2.7b,pt,default,qa-short,,3,7654.0,0.0,0.5507795413335165,0.0034698039467406737,0.7432279388109843,0.007006981540142256,0.14659001678228378,0.050314747041709115,0.07103039883077145,0.07277326812430719,6.945997714996338,2.3982163277726887
3,blip2-opt2.7b,pt,default,qa-short,followup,3,7654.0,0.0,0.6095723509788513,0.012767938345642715,0.739003578821818,0.009597549156390831,0.16135353843371072,0.04543957059263189,0.07677902405460675,0.06936999329965259,6.7233255704243975,1.3190627581257446
4,blip2-opt2.7b,pt,vqa,qa-short,,3,7654.0,0.0,0.46616148948669434,0.030097039013789333,0.6556484699249268,0.04475818507768572,0.14328020066022873,0.029779842000195438,0.11632261673609416,0.04814973819506326,2.6610922813415527,0.8858513212729046
5,blip2-opt2.7b,pt,vqa,qa-short,followup,3,7654.0,0.0,0.5351885557174683,0.025836585199337885,0.6333507498105367,0.030073874310186006,0.15773887435595194,0.02703247842187246,0.12956188370784125,0.04564035327519917,2.4926835695902505,0.4196475364381836
6,blip2-t5xl,pt,default,qa-short,,3,7654.0,0.0,0.5338820815086365,0.03020980171714109,0.7471039096514384,0.025895292021344257,0.1569985200961431,0.03780396338274932,0.07072554691694677,0.09585576117311355,5.580480655034383,2.423143025188404
7,blip2-t5xl,pt,default,qa-short,followup,3,7654.0,0.0,0.6201985875765482,0.026143530878132152,0.7512847383817037,0.00954408505333448,0.18086403608322144,0.03358924556137301,0.0884069340924422,0.08990248288734175,4.996646722157796,1.2191484035512041
8,blip2-t5xl,pt,vqa,qa-short,,3,7654.0,0.0,0.46023865540822345,0.05881779477272816,0.6701071262359619,0.0532670058356718,0.15033533672491708,0.007915245726757577,0.1006445400416851,0.05489975388053272,2.8586360216140747,2.0551829356197735
9,blip2-t5xl,pt,vqa,qa-short,followup,3,7654.0,0.0,0.5457277297973633,0.03587045014857542,0.6791220307350159,0.016722790646149826,0.17420085767904916,0.013139540079092286,0.12477136154969533,0.050803954634455736,1.9155561129252117,0.9175584348634175
10,iblip-t5xl,pt,norep-b1,qa-short,,3,7654.0,0.0,0.40175071358680725,0.007128546769761272,0.6182388265927633,0.009211549511733946,0.11636617283026378,0.04104059557410413,0.10870133588711421,0.038263690196809134,1.3630345662434895,0.2907142569959165
11,iblip-t5xl,pt,norep-b1,qa-short,followup,3,7654.0,0.0,0.5023081600666046,0.02838979981425107,0.6611357927322388,0.02954594625573013,0.14079783856868744,0.048944723657992815,0.13313300410906473,0.04563412103202237,1.2229335308074951,0.10765458318369446
12,iblip-vic7b,pt,norep-b1,qa-short,,3,7654.0,0.0,0.4064105848471324,0.026745546696504734,0.6235084136327108,0.03410114913350783,0.1361379697918892,0.029471494212195835,0.1251197631160418,0.018681818905495116,1.3610748052597046,0.3126856282749921
13,iblip-vic7b,pt,norep-b1,qa-short,followup,3,7654.0,0.0,0.4918125569820404,0.034927081253369185,0.663443942864736,0.032618725586741296,0.15094504257043204,0.03137366245098632,0.13992683589458466,0.019936104806932076,1.2206689516703289,0.125696256269164
14,llava7b,default,llava-nosample,conv-multimodal,,3,7654.0,0.0,0.4675115446249644,0.00469312011782385,0.722585141658783,0.0061410230040267405,0.08762302994728088,0.010806420125992623,0.0,0.0,35.8213996887207,4.035261525628053
15,llava7b,default,llava-nosample,conv-multimodal,followup,3,7654.0,0.0,0.5466858347256979,0.01676066868964821,0.739439070224762,0.006268944955026057,0.10682867219050725,0.010825360736859765,0.0,0.0,35.32536315917969,1.9139731270588083
16,x2vlm-base1b,ftvqa,default,none,,3,7654.0,0.0,0.21017332871754965,0.015851495724608533,0.42265482743581134,0.03555546466883688,0.058575035693744816,0.041389934645742144,0.0541329151019454,0.04176619770698565,1.6362250645955403,0.7134032088051473
17,x2vlm-base1b,ftvqa,default,none,followup,3,7654.0,0.0,0.2573817620674769,0.02910080192918553,0.4216531713803609,0.04418818605065517,0.06924483800927798,0.03995282820086772,0.0651946688691775,0.04011995757378262,1.2020294268925984,0.13865141743685547
18,x2vlm-large1b,ftvqa,default,none,,3,7654.0,0.0,0.2421391954024633,0.02075386366689775,0.46272101004918414,0.03732158560992841,0.06920128812392552,0.04002397211425487,0.06336555940409501,0.04170089190427896,1.4758296012878418,0.4910693066539573
19,x2vlm-large1b,ftvqa,default,none,followup,3,7654.0,0.0,0.303501437107722,0.029360942509266547,0.45644978682200116,0.04482675485645138,0.08239700396855672,0.03761339453548693,0.07647417609890302,0.03892124793121144,1.1721539894739788,0.11638972554950769
