,model,data,hyperp,prompt,std_n,N,N_std,ClipM1,ClipM1_std,ClipM5,ClipM5_std,Cont,Cont_std,EM,EM_std,Len,Len_std
0,blip1,ftvqa,default,none,3,36781.0,0.0,0.4658292829990387,0.033526206123424884,0.6553836862246195,0.040493467092172865,0.26040618618329364,0.011062890187499818,0.2173767238855362,0.03872092160010782,1.6131517092386882,0.3624876343831797
1,blip2-opt2.7b,pt,default,qa-short,3,36781.0,0.0,0.4762422740459442,0.008988502859107054,0.709270179271698,0.047628519144086896,0.33594338099161786,0.031960191243766395,0.004603826363260548,0.0018683352768046094,10.249594370524088,1.8142749034100434
2,blip2-opt2.7b,pt,vqa,qa-short,3,36781.0,0.0,0.4493805666764577,0.06515178468114217,0.5888366301854452,0.09261009458845991,0.1867540329694748,0.10945172819824517,0.051022719591856,0.011551723689481557,1.9706098238627117,0.8147327670139078
3,blip2-t5xl,pt,default,qa-short,3,36781.0,0.0,0.5196885963280996,0.022530864719179956,0.7620601256688436,0.03097683011646164,0.3250409960746765,0.008602628036796175,0.0010150168479109805,0.0013564944176113558,5.3231832186381025,0.5317292674705454
4,blip2-t5xl,pt,vqa,qa-short,3,36781.0,0.0,0.5648115277290344,0.06104159176534369,0.7116536696751913,0.04691634357344471,0.2473015934228897,0.04596760069915954,0.15550601234038672,0.06592533600068218,1.8003588914871216,0.3701440508162672
5,iblip-t5xl,pt,norep-b1,qa-short,3,36781.0,0.0,0.5937938888867696,0.058757591089472476,0.7279936273892721,0.036053520794963816,0.26324279109636944,0.017739009126131366,0.25065477192401886,0.015463093666252122,1.1426280339558919,0.016065682091073723
6,iblip-vic7b,pt,norep-b1,qa-short,3,36781.0,0.0,0.5957876642545065,0.08221294193113753,0.733159343401591,0.049218271127357494,0.27516018350919086,0.03955539812695024,0.26504627366860706,0.03557065832001914,1.1341815789540608,0.029687642029965332
7,llava7b,default,llava-nosample,conv-multimodal,3,36781.0,0.0,0.5112965901692709,0.011655640866941826,0.8103821476300558,0.003209137213123099,0.4507943391799927,0.023268767864120028,0.0,0.0,31.40179189046224,8.266308281937508
8,x2vlm-base1b,ftvqa,default,none,3,36781.0,0.0,0.48224174976348877,0.07463579223427803,0.6371586720148722,0.055148211079763663,0.25762395560741425,0.013358597873910161,0.2353117118279139,0.012281098904262574,1.2793742815653484,0.1318205028824401
9,x2vlm-large1b,ftvqa,default,none,3,36781.0,0.0,0.5109159549077352,0.047888474888235395,0.6781581044197083,0.024979397200082097,0.2500385195016861,0.013009329094045332,0.22499841451644897,0.024118653064044523,1.3333786328633626,0.15111641001106627
