,model,data,hyperp,prompt,N,Cont,Cont_S,EM,EM_S,length,length_S
0,blip1,ftvqa,default,none,12578,0.49197009205818176,0.49204960465431213,0.4704245626926422,0.4704245626926422,1.1723644733428955,1.17713463306427
1,blip2-opt2.7b,pt,default,qa-short,12578,0.3758944272994995,0.37613293528556824,0.1438225507736206,0.1218794733285904,4.40761661529541,5.787009239196777
2,blip2-opt2.7b,pt,vqa,qa-short,12578,0.32930514216423035,0.32930514216423035,0.32207027077674866,0.30545395612716675,1.085466742515564,1.1871521472930908
3,blip2-t5xl,pt,default,qa-short,12578,0.4472889304161072,0.4472889304161072,0.39115917682647705,0.3335983455181122,1.4815551042556763,1.8451263904571533
4,blip2-t5xl,pt,vqa,qa-short,12578,0.4487994909286499,0.4487994909286499,0.4402925670146942,0.41850849986076355,1.066306233406067,1.1420735120773315
5,flamingo-7b,pt,default,qa-short,12578,0.3269995152950287,0.3272380232810974,0.2141834944486618,0.1862776279449463,2.6191763877868652,3.6173477172851562
6,iblip-t5xl,pt,norep-b1,qa-short,12578,0.4845762550830841,0.4845762550830841,0.4761488437652588,0.4761488437652588,1.0718715190887451,1.0726665258407593
7,iblip-vic7b,pt,norep-b1,qa-short,12578,0.48974400758743286,0.48974400758743286,0.4833836853504181,0.4833836853504181,1.0605024099349976,1.061218023300171
8,llava13b,default,llava-nosample,conv-llava_v1,12578,0.4305931031703949,0.43067261576652527,0.0,0.0,10.757115364074707,13.645014762878418
9,llava7b,default,llava-nosample,conv-multimodal,12578,0.4158053696155548,0.4162029027938843,0.0,0.0,11.544203758239746,14.567419052124023
10,x2vlm-base1b,ftvqa,default,none,12578,0.5361742973327637,0.5361742973327637,0.5254412293434143,0.5254412293434143,1.0758466720581055,1.0769597291946411
11,x2vlm-large1b,ftvqa,default,none,12578,0.5390363931655884,0.5391159057617188,0.5279853940010071,0.5279853940010071,1.075210690498352,1.076403260231018
