,model,data,hyperp,prompt,additional,std_n,N,N_std,ClipM1,ClipM1_std,ClipM5,ClipM5_std,Cont,Cont_std,EM,EM_std,Len,Len_std
0,blip1,ftvqa,default,none,,3,50000.0,0.0,0.2450666626294454,0.009543695168938592,0.4383133351802826,0.017048514230881235,0.10216000179449718,0.008502517618903247,0.09235333402951558,0.0128712469740593,1.4368000030517578,0.27291969317857545
1,blip1,ftvqa,default,none,followup,3,50000.0,0.0,0.3467733363310496,0.0020496052216665687,0.5305866797765096,0.001706984038646306,0.15003333489100137,0.004653440013013156,0.13846667110919952,0.009241952812524963,1.2858399947484334,0.03851246085488306
2,blip2-opt2.7b,pt,default,qa-short,,3,50000.0,0.0,0.5709733366966248,0.020824258878393037,0.772379994392395,0.02027805543566176,0.35489333669344586,0.020423975053138164,0.00868666668732961,0.0037408734070383904,11.15148639678955,0.8095359966234349
3,blip2-opt2.7b,pt,default,qa-short,followup,3,50000.0,0.0,0.6722333232561747,0.0033000899566893896,0.8354200124740601,0.0014326167273990378,0.4030733307202657,0.009040860916098124,0.025400000313917797,0.002741970376720424,9.565926551818848,0.43863377736286746
4,blip2-opt2.7b,pt,vqa,qa-short,,3,50000.0,0.0,0.35318000614643097,0.17134348441325592,0.5030933320522308,0.2317597095279045,0.1866933355728785,0.0992102766271995,0.06672666718562444,0.021561971277439897,1.9637333154678345,0.70590109430568
5,blip2-opt2.7b,pt,vqa,qa-short,followup,3,50000.0,0.0,0.5093333224455515,0.10739634103664111,0.6626333395640055,0.12198508976068725,0.26945999761422473,0.061789521098530656,0.1201333353916804,0.013368939515627514,2.110913356145223,0.14149978145366257
6,blip2-t5xl,pt,default,qa-short,,3,50000.0,0.0,0.5450199842453003,0.023455264404052985,0.7571466565132141,0.02264360198439362,0.3004533350467682,0.02888886424075108,0.017706666762630146,0.01593608917649583,5.415606657663981,0.7980540942254817
7,blip2-t5xl,pt,default,qa-short,followup,3,50000.0,0.0,0.6471333503723145,0.00428319027496516,0.8082533478736877,0.0019515639151445096,0.3443133334318797,0.014893720395038628,0.04805999994277954,0.006230600350852082,4.787540117899577,0.4103703052297266
8,blip2-t5xl,pt,vqa,qa-short,,3,50000.0,0.0,0.43017999331156415,0.03069601945908937,0.6274600028991699,0.030766894722927086,0.21756666898727417,0.02717641905463031,0.13955999910831451,0.050145945225347294,1.9947667121887207,0.6340513783566496
9,blip2-t5xl,pt,vqa,qa-short,followup,3,50000.0,0.0,0.5550733407338461,0.01612283110354663,0.7225866715113322,0.012820540540363443,0.2783799966176351,0.012340203745509211,0.19955333570639291,0.04663844702889066,1.5615333318710327,0.24340256553650585
10,iblip-t5xl,pt,norep-b1,qa-short,,3,50000.0,0.0,0.4111799995104472,0.03759293249472183,0.6090200146039327,0.03860688078099047,0.20866000155607858,0.0280784876581263,0.1958866665760676,0.03021619481398604,1.2051133314768474,0.03104332176659348
11,iblip-t5xl,pt,norep-b1,qa-short,followup,3,50000.0,0.0,0.5541066726048788,0.007193191501468812,0.7334266702334086,0.0034302468103772467,0.2791533370812734,0.011255117926849535,0.2648066580295563,0.014203553925438846,1.2054866552352905,0.014806115130455063
12,iblip-vic7b,pt,norep-b1,qa-short,,3,50000.0,0.0,0.39685332775115967,0.03335924172855689,0.5959200064341227,0.03594457895842806,0.20032000044981638,0.029017454930349226,0.19295999904473624,0.028243673647195825,1.139080007870992,0.01751249753809542
13,iblip-vic7b,pt,norep-b1,qa-short,followup,3,50000.0,0.0,0.5509600043296814,0.01267936214135848,0.7310533324877421,0.0068090088381091715,0.2738200028737386,0.017802333254459336,0.26395999391873676,0.017285910022911577,1.1869466304779053,0.009726671798015863
14,llava7b,default,llava-nosample,conv-multimodal,,3,50000.0,0.0,0.45070000489552814,0.007561687184996869,0.7210733294487,0.008701970839422814,0.2318066656589508,0.006321658725910499,0.0,0.0,31.13292058308919,8.24973962155082
15,llava7b,default,llava-nosample,conv-multimodal,followup,3,50000.0,0.0,0.571233332157135,0.0029217872962913056,0.7913399934768677,0.00030201270023780345,0.2759400010108948,0.003114878662118291,0.0,0.0,27.452226003011067,3.7896430284110543
16,x2vlm-base1b,ftvqa,default,none,,3,50000.0,0.0,0.21168000002702078,0.01828955406489599,0.40547333161036175,0.028888782233706996,0.08240666737159093,0.014228034936586054,0.07803333053986232,0.01570152031883931,1.3100933233896892,0.14328598304724885
17,x2vlm-base1b,ftvqa,default,none,followup,3,50000.0,0.0,0.29237332940101624,0.0013206639998022604,0.47430665294329327,0.00012701748869293385,0.11636666456858318,0.005172012944361423,0.11070666710535686,0.006924802052770579,1.1656800111134846,0.012915131688653181
18,x2vlm-large1b,ftvqa,default,none,,3,50000.0,0.0,0.2367066591978073,0.02294536781135321,0.4363866647084554,0.0340020488809581,0.09416000048319499,0.015896465623717174,0.08844000101089478,0.01795836108338273,1.250813325246175,0.11618702002668246
19,x2vlm-large1b,ftvqa,default,none,followup,3,50000.0,0.0,0.3349933326244354,0.0036946646524046926,0.5254000027974447,0.0016479215896413148,0.13685333728790283,0.006526906492752253,0.1292199989159902,0.008712684838140642,1.1554799874623616,0.012992661616735379
