,model,data,hyperp,prompt,additional,std_n,N,N_std,ClipM1,ClipM1_std,ClipM5,ClipM5_std,Cont,Cont_std,EM,EM_std,Len,Len_std
0,blip1,ftvqa,default,none,,3,50000.0,0.0,0.237146665652593,0.008848076948987562,0.4293999969959259,0.01659260450673916,0.09398666520913442,0.009010088936319917,0.08265999952952068,0.013707400427179621,1.477019985516866,0.2831640168435116
1,blip1,ftvqa,default,none,followup,3,50000.0,0.0,0.34444665908813477,0.002185803380464267,0.530239999294281,0.001960902924890678,0.1448066681623459,0.006008608941844978,0.13070666790008545,0.010771099455679835,1.3280667066574097,0.039484699883438064
2,blip2-opt2.7b,pt,default,qa-short,,3,50000.0,0.0,0.4902000029881795,0.014250582573053573,0.6902466813723246,0.010399479504909031,0.2789066632588704,0.011672810157328966,0.008273333621521791,0.002049422863325927,7.935566425323486,1.1554914313027738
3,blip2-opt2.7b,pt,default,qa-short,followup,3,50000.0,0.0,0.605946679910024,0.01290110059282427,0.782153328259786,0.009653273541675066,0.34023333589235943,0.00214479314558076,0.02831333378950755,0.005449929772756829,6.528940200805664,0.4693406035779291
4,blip2-opt2.7b,pt,vqa,qa-short,,3,50000.0,0.0,0.33892667293548584,0.10949766499978679,0.5107599894205729,0.14800927762081428,0.15888000031312308,0.061424542829698,0.05946666747331619,0.01440506039035173,1.9570732911427815,0.457811611507822
5,blip2-opt2.7b,pt,vqa,qa-short,followup,3,50000.0,0.0,0.5133999983469645,0.05124225210464372,0.6901866793632507,0.05419238147670083,0.2488066703081131,0.029469538261312253,0.1259333317478498,0.006271976564889561,1.9385466972986858,0.08246850513040511
6,blip2-t5xl,pt,default,qa-short,,3,50000.0,0.0,0.45531999071439105,0.014190234903820218,0.6537400086720785,0.014361235394607113,0.2365733285744985,0.01756924334194522,0.015459999985372027,0.013776907831030772,4.207300106684367,0.6334440984564648
7,blip2-t5xl,pt,default,qa-short,followup,3,50000.0,0.0,0.5869200030962626,0.005512917177874527,0.7589266697565714,0.0032652479584259937,0.2970866660277049,0.010463844560416963,0.05578000098466873,0.008751389465199069,3.1728200117746987,0.2484139416441701
8,blip2-t5xl,pt,vqa,qa-short,,3,50000.0,0.0,0.33027999599774677,0.02303568741838588,0.5235600173473358,0.02778020351426424,0.1507733315229416,0.020558719059422727,0.10082666327555974,0.038833500135433144,1.5634533564249675,0.29815150626483367
9,blip2-t5xl,pt,vqa,qa-short,followup,3,50000.0,0.0,0.4871666729450226,0.008700807276408594,0.6700666745503744,0.006520249215751152,0.23135999341805777,0.013542333556922283,0.18014666438102722,0.03324640360436881,1.3249133825302124,0.09633858650749036
10,iblip-t5xl,pt,norep-b1,qa-short,,3,50000.0,0.0,0.3347666660944621,0.04069645187895059,0.5278133451938629,0.04776889217154129,0.15237333377202353,0.027842948368909312,0.1463599974910418,0.027948718352830304,1.1239933570226033,0.01165723648175273
11,iblip-t5xl,pt,norep-b1,qa-short,followup,3,50000.0,0.0,0.495279997587204,0.009751847492726026,0.6759999990463257,0.005822277374322614,0.2318266679843267,0.010406334587950105,0.22407333552837372,0.010776495348821956,1.1453266541163127,0.005006790908083028
12,iblip-vic7b,pt,norep-b1,qa-short,,3,50000.0,0.0,0.32028667132059735,0.024775787122112303,0.5151000022888184,0.02919468218589946,0.14768666525681814,0.02587431674632379,0.14135999977588654,0.02540044238609395,1.12555996576945,0.020337134089682667
13,iblip-vic7b,pt,norep-b1,qa-short,followup,3,50000.0,0.0,0.48197999596595764,0.008888575838765274,0.6602599819501241,0.006006622700672612,0.22302000224590302,0.017203108240775308,0.2147199958562851,0.016944483056230388,1.1586133241653442,0.007095126484114174
14,llava7b,default,llava-nosample,conv-multimodal,,3,50000.0,0.0,0.42835999528567,0.00581416451530133,0.699066678682963,0.009295318473938075,0.21237333118915558,0.005361504711522071,0.0,0.0,31.32719357808431,8.033242780407747
15,llava7b,default,llava-nosample,conv-multimodal,followup,3,50000.0,0.0,0.5492066740989685,0.002117583888693198,0.7766600052515665,0.0011646716739447092,0.25507332881291706,0.0021910225166125855,0.0,0.0,27.777933756510418,4.077346632778534
16,x2vlm-base1b,ftvqa,default,none,,3,50000.0,0.0,0.20298666755358377,0.01857430448473115,0.394706666469574,0.029960019388389224,0.07602666566769282,0.01371482802201299,0.07103333249688148,0.014803977747582202,1.2981733083724976,0.12126582840976419
17,x2vlm-base1b,ftvqa,default,none,followup,3,50000.0,0.0,0.2903066674868266,0.002851351206302064,0.47759999831517536,0.002131761503083609,0.11266000072161357,0.005299508529287468,0.10591333359479904,0.006621004329815534,1.1744266748428345,0.008487620238621823
18,x2vlm-large1b,ftvqa,default,none,,3,50000.0,0.0,0.22767333189646402,0.025924111164965284,0.42313332358996075,0.03932113707196407,0.08712666730086009,0.01696844380764006,0.07971333215634029,0.019362775346570466,1.2921933730443318,0.12871172931888675
19,x2vlm-large1b,ftvqa,default,none,followup,3,50000.0,0.0,0.33422666788101196,0.004570101418800586,0.5256666739781698,0.0028653854624902885,0.13432000080744425,0.007013611171813549,0.12465999772151311,0.00933657279381902,1.1830800374348958,0.015157814894296573
