,model,data,hyperp,prompt,N,Cont,EM,length
0,blip1,ftvqa-trainset,default,none,214354,0.8581435680389404,0.8368712067604065,1.1840972900390625
1,blip2-opt2.7b,pt,default,qa-short,214354,0.5362083315849304,0.24800889194011688,3.537498712539673
2,blip2-opt2.7b,pt,vqa,qa-short,214354,0.5266101956367493,0.5151365995407104,1.11211359500885
3,blip2-t5xl,pt,default,qa-short,214354,0.6391366720199585,0.5837777853012085,1.620240330696106
4,blip2-t5xl,pt,vqa,qa-short,214354,0.6480331420898438,0.6313038468360901,1.124616265296936
5,iblip-t5xl,pt-trainset,norep-b1,qa-short,214354,0.7429224848747253,0.7322121262550354,1.099498987197876
6,iblip-vic7b,pt-trainset,norep-b1,qa-short,214354,0.7691664695739746,0.7612449526786804,1.0858765840530396
7,llava7b,default,llava-nosample,conv-multimodal,214354,0.5565793514251709,2.51919718721183e-05,12.590009689331055
8,x2vlm-base1b,ftvqa-trainset,default,none,214354,0.8400473594665527,0.8304855227470398,1.1184395551681519
9,x2vlm-large1b,ftvqa-trainset,default,none,214354,0.862942636013031,0.8533375263214111,1.1160557270050049
